Date,Kathmandu_temperature_2m,Kathmandu_relative_humidity_2m,Kathmandu_precipitation,Kathmandu_rain,Kathmandu_pressure_msl,Kathmandu_wind_speed_10m,Dhading_temperature_2m,Dhading_relative_humidity_2m,Dhading_precipitation,Dhading_rain,Dhading_pressure_msl,Dhading_wind_speed_10m,Kavre_temperature_2m,Kavre_relative_humidity_2m,Kavre_precipitation,Kavre_rain,Kavre_pressure_msl,Kavre_wind_speed_10m,Sarlahi_temperature_2m,Sarlahi_relative_humidity_2m,Sarlahi_precipitation,Sarlahi_rain,Sarlahi_pressure_msl,Sarlahi_wind_speed_10m
2021-12-31,6.1119995,87.685875,0.0,0.0,1020.9167,3.6303275,8.958,65.128204,0.0,0.0,1021.7834,2.51742,5.4798336,74.64254,0.0,0.0,1021.5,4.663647,10.6241665,99.01809,0.0,0.0,1020.3333,3.2803228
2022-01-01,9.689083,77.74938,0.0,0.0,1020.55835,3.9684849,13.458,64.93713,0.0,0.0,1020.93335,2.5466337,7.5923333,79.49624,0.0,0.0,1021.0208,4.1197467,13.297084,90.75723,0.0,0.0,1020.0833,5.9982505
2022-01-02,10.0745,76.9596,0.008333334,0.008333334,1019.0916,3.8772385,13.878834,65.156395,0.0,0.0,1019.39166,2.1912277,8.134,73.05176,0.0,0.0,1019.60004,4.534465,12.884583,90.859955,0.0,0.0,1018.3459,6.538298
2022-01-03,10.766167,75.15661,0.0,0.0,1017.6541,4.3141494,13.178833,64.796745,0.0,0.0,1017.825,2.9492366,8.463166,70.25927,0.0,0.0,1018.10004,4.2094655,12.892917,91.52546,0.0,0.0,1017.08746,6.7261815
2022-01-04,10.864083,76.48246,0.0,0.0,1017.925,3.666002,13.612166,62.99586,0.0,0.0,1018.00415,3.4087422,8.561084,75.40406,0.0,0.0,1018.37915,4.6096144,13.08875,91.56139,0.0,0.0,1017.77496,3.1163728
2022-01-05,11.2682495,79.86653,0.083333336,0.083333336,1017.9583,3.5331354,14.078834,65.86055,0.0875,0.0875,1017.9917,2.8348694,9.094417,80.015,0.083333336,0.083333336,1018.22504,4.018253,14.290833,89.16546,0.074999996,0.074999996,1016.99585,4.4814415
2022-01-06,11.953667,79.10814,0.004166667,0.004166667,1017.5417,4.058185,15.52675,72.8614,0.0125,0.0125,1017.325,3.094289,10.044416,80.38279,0.0125,0.0125,1017.5542,3.1158705,16.047083,84.12639,0.004166667,0.004166667,1016.4709,6.237039
2022-01-07,12.445333,78.71637,0.008333334,0.008333334,1018.39996,3.8419578,15.793416,80.63361,0.0,0.0,1018.25,3.5298574,10.763167,78.10996,0.008333334,0.008333334,1018.39996,3.3119652,15.699166,90.86008,0.0,0.0,1017.37915,5.871399
2022-01-08,11.970333,78.62462,0.09166667,0.09166667,1017.78754,3.5008943,15.132999,78.47884,0.075,0.075,1017.7209,2.541691,10.49025,77.8744,0.083333336,0.083333336,1017.8958,4.210977,16.090834,88.98493,0.0,0.0,1016.05,5.1571193
2022-01-09,12.878667,74.99761,0.0,0.0,1015.87915,4.1150985,16.258,74.817726,0.008333334,0.008333334,1015.5542,2.4332514,10.8215,75.54482,0.004166667,0.004166667,1015.9041,3.8814704,16.328333,88.93638,0.0,0.0,1014.3333,5.5602646
2022-01-10,10.753667,79.78674,0.029166669,0.029166669,1017.2791,3.7405612,14.31425,69.35997,0.0,0.0,1016.9583,2.7749498,8.773583,79.40017,0.1375,0.1375,1017.7292,4.7245054,16.749166,85.582825,0.004166667,0.004166667,1015.5417,5.0759835
